t,pop,y,estrategia,frequencia
100,10,8,Y,0.3105
100,10,8,B,0.5538
100,10,9,O,0.0507
100,10,9,Y,0.1097
100,10,9,B,0.8396
100,10,10,O,0.0102
100,10,10,Y,0.0297
100,10,10,B,0.9601
100,10,11,O,0.0
100,10,11,Y,0.0389
100,10,11,B,0.9611
100,10,12,O,0.0
100,10,12,Y,0.1686
100,10,12,B,0.8314
100,10,13,O,0.0
100,10,13,Y,0.2078
100,10,13,B,0.7922
100,10,14,O,0.0
100,10,14,Y,0.2468
100,10,14,B,0.7532
100,10,15,O,0.0
100,10,15,Y,0.3105
100,10,15,B,0.6895
100,10,16,O,0.0
100,10,16,Y,0.3
100,10,16,B,0.7
100,10,17,O,0.0
100,10,17,Y,0.2735
100,10,17,B,0.7265
100,10,18,O,0.0
100,10,18,Y,0.2775
100,10,18,B,0.7225
100,10,19,O,0.0
100,10,19,Y,0.2962
100,10,19,B,0.7038
100,10,20,O,0.0
100,10,20,Y,0.3056
100,10,20,B,0.6944
100,10,21,O,0.0
100,10,21,Y,0.2818
100,10,21,B,0.7182
100,10,22,O,0.0
100,10,22,Y,0.2912
100,10,22,B,0.7088
100,10,23,O,0.0
100,10,23,Y,0.2767
100,10,23,B,0.7233
100,11,0,O,0.1087
100,11,0,Y,0.8913
100,11,0,B,0.0
100,11,1,O,0.1403
100,11,1,Y,0.7194
100,11,1,B,0.1403
100,11,2,O,0.3043
100,11,2,Y,0.497
100,11,2,B,0.1987
100,11,3,O,0.1185
100,11,3,Y,0.5999
100,11,3,B,0.2816
100,11,4,O,0.0983
100,11,4,Y,0.6567
100,11,4,B,0.245
100,11,5,O,0.2034
100,11,5,Y,0.4813
100,11,5,B,0.3153
100,11,6,O,0.2069
100,11,6,Y,0.4879
100,11,6,B,0.3052
100,11,7,O,0.3568
100,11,7,Y,0.3937
100,11,7,B,0.2495
100,11,8,O,0.1523
100,11,8,Y,0.3077
100,11,8,B,0.54
100,11,9,O,0.0558
100,11,9,Y,0.1391
100,11,9,B,0.8051
100,11,10,O,0.0009
100,11,10,Y,0.0074
100,11,10,B,0.9917
100,11,11,O,0.0
100,11,11,Y,0.0493
100,11,11,B,0.9507
100,11,12,O,0.0
100,11,12,Y,0.1636
100,11,12,B,0.8364
100,11,13,O,0.0
100,11,13,Y,0.2163
100,11,13,B,0.7837
100,11,14,O,0.0
100,11,14,Y,0.2575
100,11,14,B,0.7425
100,11,15,O,0.0
100,11,15,Y,0.2951
100,11,15,B,0.7049
100,11,16,O,0.0
100,11,16,Y,0.3046
100,11,16,B,0.6954
100,11,17,O,0.0
100,11,17,Y,0.2874
100,11,17,B,0.7126
100,11,18,O,0.0
100,11,18,Y,0.2908
100,11,18,B,0.7092
100,11,19,O,0.0
100,11,19,Y,0.2976
100,11,19,B,0.7024
100,11,20,O,0.0
100,11,20,Y,0.2711
100,11,20,B,0.7289
100,11,21,O,0.0
100,11,21,Y,0.2495
100,11,21,B,0.7505
100,11,22,O,0.0
100,11,22,Y,0.2569
100,11,22,B,0.7431
100,11,23,O,0.0
100,11,23,Y,0.2661
100,11,23,B,0.7339
100,12,0,O,0.1079
100,12,0,Y,0.8921
100,12,0,B,0.0
100,12,1,O,0.1503
100,12,1,Y,0.713
100,12,1,B,0.1367
100,12,2,O,0.285
100,12,2,Y,0.5117
100,12,2,B,0.2033
100,12,3,O,0.1341
100,12,3,Y,0.5378
100,12,3,B,0.3281
100,12,4,O,0.153
100,12,4,Y,0.5377
100,12,4,B,0.3093
100,12,5,O,0.2156
100,12,5,Y,0.4774
100,12,5,B,0.307
100,12,6,O,0.216
100,12,6,Y,0.4723
100,12,6,B,0.3117
100,12,7,O,0.3691
100,12,7,Y,0.3803
100,12,7,B,0.2506
100,12,8,O,0.1712
100,12,8,Y,0.2932
100,12,8,B,0.5356
100,12,9,O,0.0426
100,12,9,Y,0.1437
100,12,9,B,0.8137
100,12,10,O,0.0078
100,12,10,Y,0.0247
100,12,10,B,0.9675
100,12,11,O,0.0
100,12,11,Y,0.0442
100,12,11,B,0.9558
100,12,12,O,0.0
100,12,12,Y,0.1646
100,12,12,B,0.8354
100,12,13,O,0.0
100,12,13,Y,0.2099
100,12,13,B,0.7901
100,12,14,O,0.0
100,12,14,Y,0.2402
100,12,14,B,0.7598
100,12,15,O,0.0
100,12,15,Y,0.3271
100,12,15,B,0.6729
100,12,16,O,0.0
100,12,16,Y,0.3056
100,12,16,B,0.6944
100,12,17,O,0.0
100,12,17,Y,0.2835
100,12,17,B,0.7165
100,12,18,O,0.0
100,12,18,Y,0.2672
100,12,18,B,0.7328
100,12,19,O,0.0
100,12,19,Y,0.2783
100,12,19,B,0.7217
100,12,20,O,0.0
100,12,20,Y,0.2622
100,12,20,B,0.7378
100,12,21,O,0.0
100,12,21,Y,0.2791
100,12,21,B,0.7209
100,12,22,O,0.0
100,12,22,Y,0.2605
100,12,22,B,0.7395
100,12,23,O,0.0
100,12,23,Y,0.2934
100,12,23,B,0.7066
100,13,0,O,0.1034
100,13,0,Y,0.8966
100,13,0,B,0.0
100,13,1,O,0.1591
100,13,1,Y,0.6816
100,13,1,B,0.1593
100,13,2,O,0.2247
100,13,2,Y,0.5951
100,13,2,B,0.1802
100,13,3,O,0.1381
100,13,3,Y,0.5922
100,13,3,B,0.2697
100,13,4,O,0.1279
100,13,4,Y,0.5908
100,13,4,B,0.2813
100,13,5,O,0.1969
100,13,5,Y,0.4984
100,13,5,B,0.3047
100,13,6,O,0.1925
100,13,6,Y,0.4989
100,13,6,B,0.3086
100,13,7,O,0.4082
100,13,7,Y,0.3632
100,13,7,B,0.2286
100,13,8,O,0.1141
100,13,8,Y,0.2967
100,13,8,B,0.5892
100,13,9,O,0.0451
100,13,9,Y,0.1101
100,13,9,B,0.8448
100,13,10,O,0.0
100,13,10,Y,0.0
100,13,10,B,1.0
100,13,11,O,0.0
100,13,11,Y,0.0512
100,13,11,B,0.9488
100,13,12,O,0.0
100,13,12,Y,0.1633
100,13,12,B,0.8367
100,13,13,O,0.0
100,13,13,Y,0.2073
100,13,13,B,0.7927
100,13,14,O,0.0
100,13,14,Y,0.2534
100,13,14,B,0.7466
100,13,15,O,0.0
100,13,15,Y,0.3034
100,13,15,B,0.6966
100,13,16,O,0.0
100,13,16,Y,0.2921
100,13,16,B,0.7079
100,13,17,O,0.0
100,13,17,Y,0.2839
100,13,17,B,0.7161
100,13,18,O,0.0
100,13,18,Y,0.2905
100,13,18,B,0.7095
100,13,19,O,0.0
100,13,19,Y,0.3005
100,13,19,B,0.6995
100,13,20,O,0.0
100,13,20,Y,0.2715
100,13,20,B,0.7285
100,13,21,O,0.0
100,13,21,Y,0.2683
100,13,21,B,0.7317
100,13,22,O,0.0
100,13,22,Y,0.3096
100,13,22,B,0.6904
100,13,23,O,0.0
100,13,23,Y,0.2671
100,13,23,B,0.7329
100,14,0,O,0.1073
100,14,0,Y,0.8927
100,14,0,B,0.0
100,14,1,O,0.1454
100,14,1,Y,0.757
100,14,1,B,0.0976
100,14,2,O,0.2629
100,14,2,Y,0.5295
100,14,2,B,0.2076
100,14,3,O,0.1463
100,14,3,Y,0.5741
100,14,3,B,0.2796
100,14,4,O,0.1512
100,14,4,Y,0.5893
100,14,4,B,0.2595
100,14,5,O,0.1981
100,14,5,Y,0.4787
100,14,5,B,0.3232
100,14,6,O,0.1958
100,14,6,Y,0.4772
100,14,6,B,0.327
100,14,7,O,0.3586
100,14,7,Y,0.3946
100,14,7,B,0.2468
100,14,8,O,0.1438
100,14,8,Y,0.2763
100,14,8,B,0.5799
100,14,9,O,0.0727
100,14,9,Y,0.1426
100,14,9,B,0.7847
100,14,10,O,0.011
100,14,10,Y,0.0402
100,14,10,B,0.9488
100,14,11,O,0.0
100,14,11,Y,0.0392
100,14,11,B,0.9608
100,14,12,O,0.0
100,14,12,Y,0.1629
100,14,12,B,0.8371
100,14,13,O,0.0
100,14,13,Y,0.2164
100,14,13,B,0.7836
100,14,14,O,0.0
100,14,14,Y,0.2444
100,14,14,B,0.7556
100,14,15,O,0.0
100,14,15,Y,0.2863
100,14,15,B,0.7137
100,14,16,O,0.0
100,14,16,Y,0.2866
100,14,16,B,0.7134
100,14,17,O,0.0
100,14,17,Y,0.2926
100,14,17,B,0.7074
100,14,18,O,0.0
100,14,18,Y,0.2874
