"","Generation","strategy","fit_media"
"733",183,"fit_B",20.7994760638421
"734",183,"fit_O",0
"735",183,"fit_Y",18.815460704841
"736",183,"fit_total",20.526515
"737",184,"fit_B",20.9579260379316
"738",184,"fit_O",0
"739",184,"fit_Y",18.9800125670994
"740",184,"fit_total",20.692081
"741",185,"fit_B",20.6763779072102
"742",185,"fit_O",0
"743",185,"fit_Y",18.8858578643976
"744",185,"fit_total",20.429517
"745",186,"fit_B",21.0635423567314
"746",186,"fit_O",0
"747",186,"fit_Y",18.9415441911306
"748",186,"fit_total",20.778707
"749",187,"fit_B",20.6788858100607
"750",187,"fit_O",0
"751",187,"fit_Y",18.7536211272364
"752",187,"fit_total",20.418486
"753",188,"fit_B",20.9056147368419
"754",188,"fit_O",0
"755",188,"fit_Y",18.9330206276547
"756",188,"fit_total",20.639999
"757",189,"fit_B",20.6411688520361
"758",189,"fit_O",0
"759",189,"fit_Y",18.8107736389387
"760",189,"fit_total",20.387977
"761",190,"fit_B",21.0522342517271
"762",190,"fit_O",0
"763",190,"fit_Y",18.8954157800465
"764",190,"fit_total",20.766556
"765",191,"fit_B",20.5364700973229
"766",191,"fit_O",0
"767",191,"fit_Y",18.8166920142742
"768",191,"fit_total",20.303541
"769",192,"fit_B",20.9998493656195
"770",192,"fit_O",0
"771",192,"fit_Y",19.0179416107596
"772",192,"fit_total",20.727826
"773",193,"fit_B",20.8384905448699
"774",193,"fit_O",0
"775",193,"fit_Y",18.7990284012066
"776",193,"fit_total",20.561999
"777",194,"fit_B",20.8747728484458
"778",194,"fit_O",0
"779",194,"fit_Y",18.9954535268311
"780",194,"fit_total",20.622205
"781",195,"fit_B",20.7053536529218
"782",195,"fit_O",0
"783",195,"fit_Y",18.824582066624
"784",195,"fit_total",20.448489
"785",196,"fit_B",20.8593895512307
"786",196,"fit_O",0
"787",196,"fit_Y",18.9045109856778
"788",196,"fit_total",20.59915
"789",197,"fit_B",20.6345258941361
"790",197,"fit_O",0
"791",197,"fit_Y",18.9080568884965
"792",197,"fit_total",20.394828
"793",198,"fit_B",21.0911817318613
"794",198,"fit_O",0
"795",198,"fit_Y",18.96942795798
"796",198,"fit_total",20.801486
"797",199,"fit_B",20.8660519628531
"798",199,"fit_O",0
"799",199,"fit_Y",18.8752333749933
"800",199,"fit_total",20.592691
"801",200,"fit_B",20.9491635654376
"802",200,"fit_O",0
"803",200,"fit_Y",18.9268310896053
"804",200,"fit_total",20.675322
