Generation,O,Y,B,sim
161,0.0,0.1146,0.8854,3
162,0.0,0.1631,0.8369,3
163,0.0,0.1147,0.8853,3
164,0.0,0.157,0.843,3
165,0.0,0.1294,0.8706,3
166,0.0,0.1539,0.8461,3
167,0.0,0.1083,0.8917,3
168,0.0,0.1469,0.8531,3
169,0.0,0.1179,0.8821,3
170,0.0,0.1791,0.8209,3
171,0.0,0.1094,0.8906,3
172,0.0,0.1743,0.8257,3
173,0.0,0.1158,0.8842,3
174,0.0,0.1806,0.8194,3
175,0.0,0.1161,0.8839,3
176,0.0,0.1707,0.8293,3
177,0.0,0.1046,0.8954,3
178,0.0,0.1813,0.8187,3
179,0.0,0.0966,0.9034,3
180,0.0,0.1748,0.8252,3
181,0.0,0.1025,0.8975,3
182,0.0,0.1733,0.8267,3
183,0.0,0.1129,0.8871,3
184,0.0,0.1693,0.8307,3
185,0.0,0.107,0.893,3
186,0.0,0.1778,0.8222,3
187,0.0,0.1013,0.8987,3
188,0.0,0.1493,0.8507,3
189,0.0,0.138,0.862,3
190,0.0,0.1485,0.8515,3
191,0.0,0.1357,0.8643,3
192,0.0,0.1462,0.8538,3
193,0.0,0.1359,0.8641,3
194,0.0,0.1518,0.8482,3
195,0.0,0.141,0.859,3
196,0.0,0.1448,0.8552,3
197,0.0,0.1505,0.8495,3
198,0.0,0.1445,0.8555,3
199,0.0,0.155,0.845,3
200,0.0,0.1341,0.8659,3
0,0.3358,0.3338,0.3304,4
1,0.006,0.9739,0.0201,4
2,0.0,0.6056,0.3944,4
3,0.0,0.1747,0.8253,4
4,0.0,0.0796,0.9204,4
5,0.0,0.0829,0.9171,4
6,0.0,0.1273,0.8727,4
7,0.0,0.1,0.9,4
8,0.0,0.1557,0.8443,4
9,0.0,0.1134,0.8866,4
10,0.0,0.1577,0.8423,4
11,0.0,0.135,0.865,4
12,0.0,0.1643,0.8357,4
13,0.0,0.1303,0.8697,4
14,0.0,0.1709,0.8291,4
15,0.0,0.1325,0.8675,4
16,0.0,0.153,0.847,4
17,0.0,0.1205,0.8795,4
18,0.0,0.1707,0.8293,4
19,0.0,0.1335,0.8665,4
20,0.0,0.1536,0.8464,4
21,0.0,0.1532,0.8468,4
22,0.0,0.1582,0.8418,4
23,0.0,0.1242,0.8758,4
24,0.0,0.1352,0.8648,4
25,0.0,0.148,0.852,4
26,0.0,0.1284,0.8716,4
27,0.0,0.1346,0.8654,4
28,0.0,0.1316,0.8684,4
29,0.0,0.137,0.863,4
30,0.0,0.1432,0.8568,4
31,0.0,0.1427,0.8573,4
32,0.0,0.1374,0.8626,4
33,0.0,0.1289,0.8711,4
34,0.0,0.1567,0.8433,4
35,0.0,0.1245,0.8755,4
36,0.0,0.1765,0.8235,4
37,0.0,0.1012,0.8988,4
38,0.0,0.1814,0.8186,4
39,0.0,0.0962,0.9038,4
40,0.0,0.1795,0.8205,4
41,0.0,0.0909,0.9091,4
42,0.0,0.1643,0.8357,4
43,0.0,0.1101,0.8899,4
44,0.0,0.1551,0.8449,4
45,0.0,0.1207,0.8793,4
46,0.0,0.1637,0.8363,4
47,0.0,0.1274,0.8726,4
48,0.0,0.1567,0.8433,4
49,0.0,0.1269,0.8731,4
50,0.0,0.1643,0.8357,4
51,0.0,0.1169,0.8831,4
52,0.0,0.1966,0.8034,4
53,0.0,0.11,0.89,4
54,0.0,0.1483,0.8517,4
55,0.0,0.1122,0.8878,4
56,0.0,0.1357,0.8643,4
57,0.0,0.141,0.859,4
58,0.0,0.1558,0.8442,4
59,0.0,0.1402,0.8598,4
60,0.0,0.1484,0.8516,4
61,0.0,0.1503,0.8497,4
62,0.0,0.1421,0.8579,4
63,0.0,0.1627,0.8373,4
64,0.0,0.1263,0.8737,4
65,0.0,0.1465,0.8535,4
66,0.0,0.1252,0.8748,4
67,0.0,0.1512,0.8488,4
68,0.0,0.1316,0.8684,4
69,0.0,0.1351,0.8649,4
70,0.0,0.1381,0.8619,4
71,0.0,0.1524,0.8476,4
72,0.0,0.1346,0.8654,4
73,0.0,0.1575,0.8425,4
74,0.0,0.1266,0.8734,4
75,0.0,0.1642,0.8358,4
76,0.0,0.1271,0.8729,4
77,0.0,0.1769,0.8231,4
78,0.0,0.1154,0.8846,4
79,0.0,0.1543,0.8457,4
80,0.0,0.1131,0.8869,4
81,0.0,0.1562,0.8438,4
82,0.0,0.1377,0.8623,4
83,0.0,0.1806,0.8194,4
84,0.0,0.113,0.887,4
85,0.0,0.1608,0.8392,4
86,0.0,0.1201,0.8799,4
87,0.0,0.1532,0.8468,4
88,0.0,0.1358,0.8642,4
89,0.0,0.156,0.844,4
90,0.0,0.1366,0.8634,4
91,0.0,0.1336,0.8664,4
92,0.0,0.1507,0.8493,4
93,0.0,0.1409,0.8591,4
94,0.0,0.1415,0.8585,4
95,0.0,0.134,0.866,4
96,0.0,0.1628,0.8372,4
97,0.0,0.1381,0.8619,4
98,0.0,0.1467,0.8533,4
99,0.0,0.1535,0.8465,4
100,0.0,0.1543,0.8457,4
101,0.0,0.1172,0.8828,4
102,0.0,0.1374,0.8626,4
103,0.0,0.1243,0.8757,4
104,0.0,0.1754,0.8246,4
105,0.0,0.1128,0.8872,4
106,0.0,0.1379,0.8621,4
107,0.0,0.1312,0.8688,4
108,0.0,0.1418,0.8582,4
109,0.0,0.1525,0.8475,4
110,0.0,0.1447,0.8553,4
111,0.0,0.131,0.869,4
112,0.0,0.1634,0.8366,4
113,0.0,0.1221,0.8779,4
114,0.0,0.1512,0.8488,4
115,0.0,0.1273,0.8727,4
116,0.0,0.1516,0.8484,4
117,0.0,0.1232,0.8768,4
118,0.0,0.1379,0.8621,4
119,0.0,0.1269,0.8731,4
120,0.0,0.1399,0.8601,4
121,0.0,0.1295,0.8705,4
122,0.0,0.1485,0.8515,4
123,0.0,0.1444,0.8556,4
124,0.0,0.156,0.844,4
125,0.0,0.1253,0.8747,4
126,0.0,0.1552,0.8448,4
127,0.0,0.1455,0.8545,4
128,0.0,0.148,0.852,4
129,0.0,0.1033,0.8967,4
130,0.0,0.1791,0.8209,4
131,0.0,0.097,0.903,4
132,0.0,0.1533,0.8467,4
133,0.0,0.1171,0.8829,4
134,0.0,0.155,0.845,4
135,0.0,0.128,0.872,4
136,0.0,0.1529,0.8471,4
137,0.0,0.1108,0.8892,4
138,0.0,0.1467,0.8533,4
139,0.0,0.1326,0.8674,4
140,0.0,0.1601,0.8399,4
141,0.0,0.1417,0.8583,4
142,0.0,0.1409,0.8591,4
143,0.0,0.1342,0.8658,4
144,0.0,0.1653,0.8347,4
145,0.0,0.1319,0.8681,4
146,0.0,0.1512,0.8488,4
147,0.0,0.1434,0.8566,4
148,0.0,0.1683,0.8317,4
149,0.0,0.109,0.891,4
150,0.0,0.1384,0.8616,4
151,0.0,0.1334,0.8666,4
152,0.0,0.1342,0.8658,4
153,0.0,0.1384,0.8616,4
154,0.0,0.1518,0.8482,4
155,0.0,0.1357,0.8643,4
156,0.0,0.1447,0.8553,4
157,0.0,0.132,0.868,4
158,0.0,0.1561,0.8439,4
159,0.0,0.1325,0.8675,4
160,0.0,0.1325,0.8675,4
161,0.0,0.1311,0.8689,4
162,0.0,0.136,0.864,4
163,0.0,0.1343,0.8657,4
164,0.0,0.1525,0.8475,4
165,0.0,0.1297,0.8703,4
166,0.0,0.1586,0.8414,4
167,0.0,0.1314,0.8686,4
168,0.0,0.1451,0.8549,4
169,0.0,0.1234,0.8766,4
170,0.0,0.1492,0.8508,4
171,0.0,0.1302,0.8698,4
172,0.0,0.1416,0.8584,4
173,0.0,0.1429,0.8571,4
174,0.0,0.1575,0.8425,4
175,0.0,0.1241,0.8759,4
176,0.0,0.1696,0.8304,4
177,0.0,0.121,0.879,4
178,0.0,0.1664,0.8336,4
