Generation,O,Y,B,sim
98,0.075,0.879,0.046,4
99,0.0775,0.8759,0.0466,4
100,0.0796,0.8743,0.0461,4
101,0.0758,0.8786,0.0456,4
102,0.0784,0.8751,0.0465,4
103,0.0761,0.8782,0.0457,4
104,0.0769,0.8773,0.0458,4
105,0.0768,0.8767,0.0465,4
106,0.0795,0.8742,0.0463,4
107,0.0762,0.878,0.0458,4
108,0.0771,0.8766,0.0463,4
109,0.0757,0.8783,0.046,4
110,0.0777,0.8763,0.046,4
111,0.0791,0.8747,0.0462,4
112,0.0787,0.8755,0.0458,4
113,0.0727,0.8816,0.0457,4
114,0.078,0.875,0.047,4
115,0.0786,0.8753,0.0461,4
116,0.0785,0.8759,0.0456,4
117,0.0761,0.8778,0.0461,4
118,0.0766,0.8773,0.0461,4
119,0.076,0.8781,0.0459,4
120,0.0796,0.8739,0.0465,4
121,0.0772,0.877,0.0458,4
122,0.0767,0.8773,0.046,4
123,0.0761,0.8776,0.0463,4
124,0.0784,0.8754,0.0462,4
125,0.0754,0.8788,0.0458,4
126,0.0797,0.8738,0.0465,4
127,0.0778,0.8765,0.0457,4
128,0.0755,0.879,0.0455,4
129,0.0756,0.8778,0.0466,4
130,0.0791,0.8744,0.0465,4
131,0.0775,0.8767,0.0458,4
132,0.0788,0.8749,0.0463,4
133,0.0743,0.88,0.0457,4
134,0.0765,0.8774,0.0461,4
135,0.0787,0.8749,0.0464,4
136,0.08,0.8742,0.0458,4
137,0.0744,0.8799,0.0457,4
138,0.0766,0.8767,0.0467,4
139,0.0774,0.8764,0.0462,4
140,0.0781,0.8761,0.0458,4
