t,pop,estrategia,n_vizinhos
3,59,B,36.68518518518518
3,60,O,48.0
3,60,Y,47.88554373215676
3,60,B,38.22641509433962
3,61,O,48.0
3,61,Y,47.882455920970365
3,61,B,36.841409691629956
3,62,O,48.0
3,62,Y,47.84029447115385
3,62,B,34.71943887775551
3,63,O,48.0
3,63,Y,47.89072973314784
3,63,B,36.51851851851852
3,64,O,48.0
3,64,Y,47.91476116365378
3,64,B,37.25448028673835
3,65,O,48.0
3,65,Y,47.814716928640976
3,65,B,36.21563342318059
3,66,O,48.0
3,66,Y,47.852249488752555
3,66,B,38.693726937269375
3,67,O,48.0
3,67,Y,47.91285484070906
3,67,B,37.06956521739131
3,68,O,48.0
3,68,Y,47.8589549152075
3,68,B,36.64267990074442
3,69,O,48.0
3,69,Y,47.91072325464591
3,69,B,35.232919254658384
3,70,O,48.0
3,70,Y,47.86253088828196
3,70,B,34.71495327102804
3,71,O,48.0
3,71,Y,47.913874410523704
3,71,B,35.67857142857143
3,72,O,48.0
3,72,Y,47.875890659411844
3,72,B,46.666666666666664
3,73,O,48.0
3,73,Y,47.851847017360654
3,73,B,35.090614886731395
3,74,O,48.0
3,74,Y,47.909471094710945
3,74,B,37.23478260869565
3,75,O,48.0
3,75,Y,47.90411616464659
3,75,B,39.589285714285715
3,76,O,48.0
3,76,Y,47.88067312595614
3,76,B,38.62551440329218
3,77,O,48.0
3,77,Y,47.79392302498312
3,77,B,34.99604743083004
3,78,O,48.0
3,78,Y,47.84561128526646
3,78,B,38.36286919831224
3,79,O,48.0
3,79,Y,47.84855345911949
3,79,B,38.8187134502924
3,80,O,48.0
3,80,Y,47.90833333333333
3,80,B,35.45758354755784
3,81,O,48.0
3,81,Y,47.82441681799134
3,81,B,38.48444444444444
3,82,O,48.0
3,82,Y,47.86673397274104
3,82,B,35.702127659574465
3,83,O,48.0
3,83,Y,47.84914040114613
3,83,B,35.2928870292887
3,84,O,48.0
3,84,Y,47.893964317347844
3,84,B,36.982608695652175
3,85,O,48.0
3,85,Y,47.812834906864
3,85,B,38.005376344086024
3,86,O,48.0
3,86,Y,47.832829254880394
3,86,B,34.29490616621984
3,87,O,48.0
3,87,Y,47.890103955717564
3,87,B,36.904761904761905
3,88,O,48.0
3,88,Y,47.883723992625754
3,88,B,37.09795918367347
3,89,O,48.0
3,89,Y,47.91168831168831
3,89,B,36.753246753246756
3,90,O,48.0
3,90,Y,47.89459233615853
3,90,B,36.06666666666667
3,91,O,48.0
3,91,Y,47.87131224135629
3,91,B,38.47148288973384
3,92,O,48.0
